SUBDISTRIC,SUBDISTR_1,DISTRICT_I,DISTRICT_N,g_MALE,g_FEMALE,g_TOTAL,totalpop
100608,หัวหมาก,1006,บางกะปิ,4665,6739,11404,67793
100601,คลองจั่น,1006,บางกะปิ,5924,8731,14655,79048
104003,บางไผ่,1040,บางแค,3360,4670,8030,40277
100502,อนุสาวรีย์,1005,บางเขน,7473,10294,17767,94550
100508,ท่าแร้ง,1005,บางเขน,6242,9079,15321,96773
103102,วัดพระยาไกร,1031,บางคอแหลม,2743,3878,6621,26280
103103,บางโคล่,1031,บางคอแหลม,3613,4759,8372,37065
100404,บางรัก,1004,บางรัก,377,454,831,2806
100402,สีลม,1004,บางรัก,1065,1640,2705,18231
100401,มหาพฤฒาราม,1004,บางรัก,1246,1733,2979,11243
100405,สี่พระยา,1004,บางรัก,1138,1711,2849,10669
100403,สุริยวงศ์,1004,บางรัก,473,700,1173,5258
102005,บ้านช่างหล่อ,1020,บางกอกน้อย,3406,4563,7969,31557
102004,ศิริราช,1020,บางกอกน้อย,1653,1909,3562,16817
101601,วัดอรุณ,1016,บางกอกใหญ่,1816,2262,4078,14100
101602,วัดท่าพระ,1016,บางกอกใหญ่,4923,7361,12284,53111
102501,บางพลัด,1025,บางพลัด,2640,3825,6465,23311
102503,บางบำหรุ,1025,บางพลัด,1847,2732,4579,18514
102504,บางยี่ขัน,1025,บางพลัด,2601,3674,6275,24745
102601,ดินแดง,1026,ดินแดง,7363,10420,17783,75779
100202,วชิรพยาบาล,1002,ดุสิต,1145,1561,2706,10808
100201,ดุสิต,1002,ดุสิต,1995,1825,3820,12583
100206,ถนนนครไชยศรี,1002,ดุสิต,5510,6583,12093,55220
101702,บางกะปิ,1017,ห้วยขวาง,1284,1806,3090,17606
101701,ห้วยขวาง,1017,ห้วยขวาง,1828,2574,4402,25879
101704,สามเสนนอก,1017,ห้วยขวาง,3073,4636,7709,38204
104605,ทรายกองดินใต้,1046,คลองสามวา,908,1103,2011,16811
101804,คลองต้นไทร,1018,คลองสาน,1755,2452,4207,18752
101802,คลองสาน,1018,คลองสาน,1220,1713,2933,16048
101803,บางลำภูล่าง,1018,คลองสาน,2512,3557,6069,24344
101801,สมเด็จเจ้าพระยา,1018,คลองสาน,1457,1999,3456,13027
103301,คลองเตย,1033,คลองเตย,6159,7794,13953,67346
103302,คลองตัน,1033,คลองเตย,1268,1669,2937,11101
103303,พระโขนง,1033,คลองเตย,2413,3174,5587,23096
104102,ตลาดบางเขน,1041,หลักสี่,2359,3265,5624,28120
101102,คลองสองต้นนุ่น,1011,ลาดกระบัง,3398,4333,7731,67655
101103,คลองสามประเวศ,1011,ลาดกระบัง,902,1150,2052,15785
101104,ลำปลาทิว,1011,ลาดกระบัง,1229,1596,2825,24332
103802,จรเข้บัว,1038,ลาดพร้าว,2435,3652,6087,27465
